timestamp(ms),X(g),Y(g),Z(g),class
36541,-2.67,-1.33,-9.92,3
158137,-2.24,-1.26,-10.00,2
201385,-3.18,-1.41,-9.77,5
58213,-2.47,-1.41,-9.92,0
215809,-2.20,-1.18,-10.00,2
150289,-2.75,-1.41,-9.89,4
77281,-2.20,-1.26,-10.00,2
106645,-2.47,-1.37,-9.96,0
43141,-2.20,-1.18,-10.04,2
107821,-3.84,-1.49,-9.53,1
53221,-2.39,-1.49,-9.96,0
228409,-3.92,-1.49,-9.45,1
42193,-3.92,-1.49,-9.49,1
205393,-2.75,-1.45,-9.89,4
141157,-3.92,-1.49,-9.53,1
59401,-2.67,-1.41,-9.81,3
157237,-2.63,-1.41,-9.96,3
246817,-2.75,-1.37,-9.96,4
190897,-3.14,-1.53,-9.77,5
44389,-2.75,-1.33,-9.85,4
85729,-2.43,-1.45,-9.96,0
99289,-3.14,-1.41,-9.92,5
216301,-2.16,-1.22,-10.00,2
233869,-2.43,-1.33,-9.96,0
208837,-3.96,-1.49,-9.53,1
93781,-2.43,-1.41,-9.96,0
42181,-2.71,-1.45,-9.92,4
65869,-2.63,-1.37,-9.92,3
227677,-2.71,-1.41,-9.92,4
179209,-2.39,-1.41,-9.92,0
120253,-2.16,-1.26,-10.00,2
109849,-2.71,-1.37,-9.96,3
174097,-2.20,-1.22,-10.00,2
40561,-2.63,-1.33,-10.00,3
45709,-3.88,-1.53,-9.57,1
26977,-2.63,-1.29,-9.96,3
94273,-3.84,-1.49,-9.61,1
238897,-2.24,-1.26,-10.04,2
135625,-3.88,-1.53,-9.49,1
158713,-3.92,-1.49,-9.49,1
146545,-2.67,-1.41,-9.96,3
171505,-2.67,-1.33,-10.00,3
216025,-2.24,-1.22,-10.04,2
142333,-3.18,-1.41,-9.85,5
237733,-2.20,-1.26,-10.00,2
183445,-3.10,-1.53,-9.77,5
217945,-2.71,-1.37,-9.92,4
230725,-3.14,-1.49,-9.81,5
150481,-2.16,-1.22,-10.04,2
220741,-2.67,-1.33,-9.92,3
248965,-2.16,-1.22,-10.00,2
27433,-3.80,-1.49,-9.49,1
61993,-2.16,-1.26,-10.00,2
226381,-2.12,-1.22,-10.00,2
115981,-2.43,-1.41,-9.96,0
191401,-3.18,-1.49,-9.77,5
90565,-2.20,-1.26,-10.04,2
88705,-2.43,-1.45,-9.92,0
140761,-2.39,-1.45,-9.96,0
66073,-2.39,-1.45,-9.96,0
88057,-2.75,-1.37,-10.00,4
137185,-3.96,-1.53,-9.45,1
153961,-2.43,-1.45,-9.92,0
57469,-2.39,-1.45,-9.96,0
22057,-3.18,-1.53,-9.81,5
83821,-2.67,-1.41,-9.92,3
130765,-3.88,-1.53,-9.49,1
152497,-2.67,-1.37,-9.92,3
92881,-2.24,-1.22,-10.00,2
105505,-3.88,-1.53,-9.53,1
42625,-3.88,-1.57,-9.49,1
160309,-2.67,-1.33,-9.89,3
95233,-2.75,-1.37,-9.85,4
223273,-2.43,-1.29,-9.96,0
228457,-2.71,-1.33,-9.92,3
89809,-3.14,-1.49,-9.77,5
118729,-2.20,-1.26,-9.96,2
181189,-2.24,-1.22,-10.08,2
133489,-2.35,-1.41,-9.96,0
74581,-2.43,-1.49,-9.92,0
125473,-2.16,-1.26,-9.96,2
55933,-2.16,-1.22,-10.00,2
242881,-2.75,-1.41,-9.81,3
39349,-2.43,-1.41,-9.96,0
197953,-2.39,-1.37,-9.96,0
138889,-2.67,-1.37,-9.92,3
93793,-3.14,-1.49,-9.85,5
227641,-3.14,-1.45,-9.77,5
42577,-2.71,-1.41,-9.92,4
204805,-2.71,-1.41,-9.92,4
188425,-2.39,-1.33,-10.00,0
98857,-4.00,-1.49,-9.45,1
128161,-2.39,-1.41,-9.96,0
247117,-2.67,-1.41,-9.89,4
223009,-2.75,-1.45,-9.92,4
124141,-3.14,-1.45,-9.81,5
157633,-3.14,-1.49,-9.77,5
92605,-3.22,-1.53,-9.69,5
176197,-2.75,-1.37,-9.92,4
175237,-3.14,-1.49,-9.81,5
227521,-3.18,-1.53,-9.81,5
91105,-3.14,-1.41,-9.81,5
191341,-2.43,-1.33,-9.96,0
229513,-2.39,-1.37,-9.96,0
197773,-2.63,-1.33,-9.96,3
193261,-3.96,-1.49,-9.45,1
144913,-2.63,-1.37,-9.92,3
91969,-3.14,-1.49,-9.77,5
187417,-2.71,-1.41,-9.81,4
258445,-2.24,-1.22,-10.00,2
182629,-3.96,-1.53,-9.49,1
125581,-3.84,-1.49,-9.49,1
21049,-2.71,-1.41,-9.92,3
185617,-3.06,-1.45,-9.77,5
193177,-2.39,-1.37,-9.96,0
99073,-2.39,-1.45,-9.92,0
199441,-2.67,-1.33,-9.92,3
184405,-2.71,-1.41,-9.92,4
77197,-2.71,-1.41,-9.92,4
34909,-2.24,-1.22,-10.00,2
89893,-3.92,-1.49,-9.49,1
210961,-2.24,-1.18,-10.04,2
251329,-2.43,-1.26,-10.00,0
192757,-3.92,-1.49,-9.49,1
205045,-3.14,-1.45,-9.85,5
223753,-2.43,-1.33,-9.96,0
89281,-3.88,-1.49,-9.45,1
92917,-2.51,-1.45,-9.96,0
49153,-2.75,-1.41,-9.92,3
206821,-2.75,-1.33,-9.96,3
102529,-2.43,-1.41,-9.92,0
28489,-3.14,-1.49,-9.77,5
38533,-2.71,-1.41,-9.92,4
53161,-2.39,-1.45,-9.96,0
124273,-4.00,-1.53,-9.45,1
57961,-2.16,-1.26,-10.04,2
49153,-2.71,-1.41,-9.92,4
124693,-2.24,-1.26,-10.04,2
78577,-2.20,-1.26,-10.04,2
75397,-3.92,-1.45,-9.53,1
91621,-3.80,-1.53,-9.49,1
111877,-2.75,-1.45,-9.89,4
223021,-2.67,-1.37,-9.92,3
110461,-2.67,-1.41,-9.92,3
182905,-2.71,-1.45,-9.92,4
202033,-2.16,-1.22,-10.00,2
232309,-3.14,-1.45,-9.81,5
178057,-2.35,-1.37,-9.96,0
145717,-2.35,-1.41,-9.92,0
134461,-2.20,-1.22,-10.04,2
105241,-2.79,-1.33,-9.96,4
94441,-3.10,-1.49,-9.89,5
48709,-2.16,-1.26,-10.00,2
222325,-2.39,-1.33,-9.96,0
103981,-2.55,-1.41,-9.92,3
75445,-2.20,-1.18,-10.04,2
147025,-3.14,-1.53,-9.85,5
158569,-2.63,-1.37,-9.96,4
99085,-2.67,-1.37,-9.92,3
229285,-2.47,-1.37,-9.96,0
102913,-4.00,-1.61,-9.49,1
242017,-2.67,-1.41,-9.92,3
83821,-2.75,-1.37,-9.92,4
215017,-2.43,-1.33,-9.96,0
25225,-3.80,-1.53,-9.57,1
247873,-2.43,-1.33,-10.00,0
45457,-2.39,-1.45,-9.92,0
167485,-3.84,-1.53,-9.49,1
198649,-2.71,-1.33,-9.92,3
75865,-2.75,-1.33,-9.96,4
192937,-2.24,-1.22,-10.00,2
52273,-2.16,-1.26,-10.00,2
175105,-2.20,-1.22,-10.04,2
231337,-2.67,-1.33,-9.89,3
58525,-2.35,-1.45,-9.92,0
41689,-2.71,-1.41,-9.89,3
145465,-2.67,-1.41,-9.96,3
83389,-2.67,-1.41,-9.92,3
46441,-2.39,-1.49,-9.96,0
199285,-3.14,-1.45,-9.85,5
108685,-3.84,-1.53,-9.45,1
157801,-2.75,-1.33,-9.89,4
43633,-3.14,-1.49,-9.81,5
142645,-3.18,-1.45,-9.85,5
236869,-2.20,-1.26,-10.04,2
74977,-3.14,-1.53,-9.81,5
72625,-3.14,-1.45,-9.85,5
250477,-2.20,-1.22,-10.00,2
41593,-3.06,-1.49,-9.77,5
139249,-3.84,-1.45,-9.49,1
230125,-2.43,-1.33,-10.00,0
241729,-2.20,-1.22,-10.04,2
208621,-3.18,-1.49,-9.85,5
68821,-2.24,-1.22,-10.04,2
138889,-2.79,-1.33,-9.89,4
95761,-3.14,-1.45,-9.81,5
97369,-3.88,-1.49,-9.45,1
140269,-3.22,-1.45,-9.85,5
84061,-2.71,-1.37,-9.89,3
241993,-2.63,-1.33,-9.92,3
111997,-3.18,-1.45,-9.81,5
118057,-2.47,-1.41,-9.96,0
128509,-3.18,-1.49,-9.81,5
47341,-3.84,-1.49,-9.57,1
200701,-2.35,-1.37,-9.96,0
188989,-2.63,-1.37,-9.92,3
171937,-2.24,-1.18,-9.96,2
58981,-2.59,-1.33,-10.04,3
177385,-2.35,-1.37,-9.96,0
37561,-3.77,-1.53,-9.49,1
146773,-2.16,-1.26,-10.00,2
152557,-2.43,-1.37,-9.96,0
251701,-2.43,-1.29,-9.96,0
227221,-3.18,-1.49,-9.81,5
189193,-2.20,-1.26,-10.00,2
146401,-3.14,-1.45,-9.85,5
213517,-2.67,-1.37,-9.92,3
193849,-2.20,-1.22,-10.04,2
125401,-2.20,-1.18,-9.96,2
173953,-2.20,-1.22,-10.00,2
25405,-2.63,-1.41,-9.92,3
32437,-2.12,-1.22,-10.04,2
80353,-2.47,-1.45,-9.96,0
215437,-3.14,-1.53,-9.85,5
48721,-2.75,-1.33,-10.00,3
134785,-2.43,-1.41,-9.92,0
177013,-2.12,-1.22,-10.00,2
168205,-3.96,-1.53,-9.49,1
234769,-2.39,-1.37,-10.00,0
196993,-3.14,-1.49,-9.77,5
68353,-2.71,-1.37,-9.92,3
117025,-3.88,-1.53,-9.53,1
60133,-3.14,-1.49,-9.85,5
180193,-3.14,-1.45,-9.81,5
192133,-2.35,-1.33,-9.96,0
238825,-3.96,-1.49,-9.45,1
105205,-2.47,-1.41,-9.96,0
119857,-2.47,-1.41,-9.96,0
136885,-3.88,-1.53,-9.57,1
59077,-3.84,-1.49,-9.49,1
172969,-4.00,-1.61,-9.34,1
51421,-3.92,-1.53,-9.45,1
135469,-2.16,-1.26,-10.00,2
224725,-3.92,-1.53,-9.49,1
97621,-3.14,-1.45,-9.85,5
186721,-2.59,-1.37,-9.92,3
202489,-2.24,-1.22,-10.00,2
93649,-2.67,-1.45,-9.92,3
153169,-3.26,-1.45,-9.81,5
242353,-4.00,-1.49,-9.49,1
25273,-2.67,-1.33,-9.89,3
52213,-2.67,-1.33,-9.92,3
68113,-2.20,-1.26,-10.04,2
56365,-3.14,-1.49,-9.81,5
224917,-2.24,-1.22,-10.04,2
192937,-3.88,-1.53,-9.57,1
43177,-2.63,-1.41,-9.89,3
127345,-3.14,-1.49,-9.81,5
38521,-3.77,-1.45,-9.53,1
106333,-3.92,-1.53,-9.57,1
116965,-3.88,-1.53,-9.49,1
53113,-3.06,-1.49,-9.85,5
130969,-2.71,-1.41,-9.92,3
154837,-2.67,-1.41,-9.85,4
87961,-2.16,-1.26,-10.04,2
182185,-2.16,-1.26,-10.04,2
59581,-2.67,-1.33,-9.96,3
253105,-2.24,-1.22,-10.00,2
87445,-2.20,-1.26,-10.00,2
188197,-3.14,-1.45,-9.77,5
118237,-2.71,-1.45,-9.96,4
82333,-2.20,-1.22,-10.00,2
216385,-2.63,-1.41,-9.92,3
37333,-2.63,-1.41,-9.92,4
217585,-3.18,-1.49,-9.81,5
24217,-2.39,-1.49,-9.96,0
153865,-3.88,-1.49,-9.53,1
241909,-3.77,-1.45,-9.41,1
184189,-2.16,-1.22,-10.00,2
150265,-2.71,-1.41,-9.96,4
136789,-2.63,-1.33,-9.85,3
51577,-2.71,-1.41,-9.85,4
133981,-2.43,-1.41,-10.00,0
99529,-2.20,-1.18,-10.04,2
113197,-2.63,-1.33,-9.92,3
188713,-4.04,-1.49,-9.53,1
90013,-2.75,-1.41,-9.92,4
228001,-2.71,-1.45,-9.89,4
80341,-3.96,-1.49,-9.45,1
212365,-3.88,-1.53,-9.49,1
32269,-2.67,-1.33,-9.89,3
114745,-3.18,-1.41,-9.85,5
216277,-2.67,-1.37,-9.92,3
160981,-3.96,-1.49,-9.61,1
216541,-2.75,-1.37,-9.89,4
154873,-3.14,-1.53,-9.81,5
95185,-3.14,-1.45,-9.77,5
71965,-3.84,-1.53,-9.53,1
173521,-2.39,-1.37,-9.96,0
150409,-2.35,-1.45,-9.96,0
88801,-3.96,-1.49,-9.53,1
85849,-2.71,-1.41,-9.92,4
112897,-3.14,-1.53,-9.85,5
106009,-2.71,-1.37,-9.81,4
86605,-2.67,-1.41,-9.89,4
222889,-2.75,-1.41,-9.85,4
31225,-3.14,-1.49,-9.73,5
66061,-2.75,-1.41,-9.89,3
77437,-3.10,-1.53,-9.77,5
108169,-2.43,-1.41,-10.00,0
121849,-2.67,-1.37,-9.89,3
169177,-2.63,-1.37,-9.96,3
96697,-3.18,-1.49,-9.73,5
134881,-2.75,-1.41,-9.96,4
177745,-2.20,-1.22,-10.00,2
212917,-2.16,-1.29,-9.92,2
126769,-2.39,-1.45,-9.92,0
199141,-2.20,-1.18,-10.00,2
93325,-2.24,-1.26,-10.00,2
81973,-2.28,-1.22,-10.00,2
234145,-2.39,-1.37,-10.00,0
188269,-2.71,-1.37,-9.92,3
136813,-3.88,-1.49,-9.57,1
185713,-3.14,-1.49,-9.81,5
240193,-3.88,-1.45,-9.53,1
189889,-2.63,-1.33,-9.92,3
45037,-2.71,-1.37,-9.89,4
177097,-3.96,-1.45,-9.49,1
39901,-2.67,-1.37,-9.85,4
127381,-3.14,-1.45,-9.81,5
99373,-2.47,-1.41,-9.96,0
140065,-2.67,-1.37,-9.92,3
125161,-2.67,-1.41,-9.96,3
153889,-4.00,-1.53,-9.53,1
196513,-2.67,-1.37,-9.96,3
184621,-2.71,-1.49,-9.85,4
244921,-2.20,-1.22,-10.04,2
42157,-2.39,-1.45,-9.92,0
217753,-2.35,-1.37,-9.96,0
27541,-2.63,-1.33,-9.92,3
39925,-2.71,-1.41,-9.92,3
199333,-2.59,-1.41,-9.89,3
200857,-3.14,-1.53,-9.81,5
30025,-3.14,-1.49,-9.81,5
231109,-3.18,-1.41,-9.81,5
75445,-3.18,-1.45,-9.81,5
207889,-2.20,-1.22,-10.00,2
167233,-2.75,-1.41,-10.00,4
197017,-2.39,-1.37,-9.96,0
151657,-2.39,-1.41,-9.92,0
136069,-2.12,-1.22,-10.00,2
155017,-2.63,-1.37,-9.92,3
40333,-2.20,-1.22,-10.04,2
176641,-2.20,-1.22,-9.96,2
214273,-2.71,-1.41,-9.85,4
40081,-3.77,-1.49,-9.53,1
62137,-3.96,-1.49,-9.45,1
120529,-2.75,-1.45,-9.89,4
186949,-2.63,-1.37,-9.96,3
66217,-3.14,-1.49,-9.77,5
143197,-2.71,-1.41,-9.92,4
60529,-3.92,-1.53,-9.57,1
213265,-3.88,-1.49,-9.49,1
86137,-2.67,-1.37,-9.92,3
49873,-3.92,-1.53,-9.49,1
91633,-2.75,-1.37,-9.92,4
119821,-2.63,-1.33,-9.96,3
141889,-2.24,-1.22,-10.00,2
53425,-3.14,-1.49,-9.81,5
246613,-2.24,-1.22,-10.00,2
41797,-3.14,-1.49,-9.81,5
106429,-3.14,-1.45,-9.77,5
48949,-2.75,-1.37,-9.89,3
86473,-2.71,-1.45,-9.85,4
133249,-2.39,-1.41,-9.96,0
125569,-2.67,-1.37,-9.92,3
90589,-2.67,-1.33,-9.89,3
131353,-1.96,-1.96,-10.67,2
108061,-2.71,-1.37,-9.89,3
233905,-2.67,-1.33,-9.92,3
171997,-2.67,-1.37,-9.92,3
148705,-2.63,-1.37,-9.92,3
85549,-2.39,-1.45,-9.96,0
95857,-2.75,-1.41,-9.89,4
205261,-2.35,-1.33,-9.96,0
211993,-2.67,-1.29,-9.96,3
67993,-3.92,-1.53,-9.45,1
119245,-2.47,-1.41,-9.92,0
128977,-3.14,-1.49,-9.73,5
72649,-2.39,-1.49,-9.96,0
51457,-3.10,-1.53,-9.77,5
76081,-2.63,-1.37,-9.92,3
170809,-3.14,-1.49,-9.85,5
116389,-2.75,-1.37,-9.89,4
158521,-3.92,-1.53,-9.49,1
105577,-2.63,-1.41,-9.92,3
205597,-2.79,-1.37,-9.89,3
52201,-2.24,-1.22,-9.96,2
139165,-3.92,-1.53,-9.53,1
60601,-3.14,-1.45,-9.77,5
138325,-3.14,-1.45,-9.89,5
167653,-3.88,-1.45,-9.61,1
189697,-2.71,-1.37,-9.96,4
170689,-2.28,-1.22,-10.00,2
234649,-3.22,-1.45,-9.81,5
73081,-3.14,-1.53,-9.81,5
138625,-2.43,-1.45,-10.00,0
70249,-2.39,-1.45,-9.96,0
189109,-2.67,-1.53,-9.81,4
199669,-2.75,-1.33,-9.96,4
116821,-2.71,-1.37,-9.96,4
154537,-2.16,-1.26,-10.04,2
58681,-2.67,-1.41,-9.96,3
91537,-2.71,-1.41,-9.92,4
47449,-3.88,-1.49,-9.49,1
26449,-3.10,-1.49,-9.85,5
76117,-3.80,-1.53,-9.53,1
204481,-2.39,-1.29,-10.00,0
108865,-2.47,-1.41,-9.96,0
146461,-2.71,-1.37,-9.92,3
223381,-3.18,-1.45,-9.77,5
87097,-2.39,-1.45,-9.92,0
57925,-2.67,-1.45,-9.96,3
186313,-2.39,-1.37,-10.00,0
170257,-2.39,-1.41,-9.96,0
83545,-3.92,-1.57,-9.53,1
229393,-3.14,-1.49,-9.77,5
220561,-2.67,-1.41,-9.85,3
36157,-2.63,-1.29,-10.00,3
47905,-2.39,-1.45,-9.96,0
120157,-2.71,-1.41,-9.92,3
75517,-3.18,-1.45,-9.81,5
157309,-3.92,-1.49,-9.57,1
170977,-2.43,-1.41,-10.00,0
117169,-2.71,-1.37,-9.92,4
71101,-2.16,-1.22,-10.00,2
126181,-4.04,-1.53,-9.41,1
37117,-2.43,-1.49,-9.92,0
169933,-2.39,-1.37,-9.96,0
167221,-2.67,-1.37,-9.89,3
173413,-2.35,-1.37,-10.00,0
132721,-2.71,-1.33,-9.92,3
123601,-2.71,-1.41,-9.92,4
55585,-2.20,-1.26,-10.04,2
175081,-2.20,-1.26,-10.04,2
85741,-3.92,-1.49,-9.61,1
32545,-2.24,-1.22,-10.00,2
172753,-2.39,-1.41,-9.92,0
211177,-2.71,-1.33,-9.89,4
100225,-2.71,-1.45,-9.92,4
245605,-2.39,-1.33,-9.96,0
46009,-3.10,-1.49,-9.85,5
61513,-2.71,-1.41,-9.89,4
145849,-2.24,-1.22,-10.04,2
136801,-2.71,-1.37,-9.92,4
239449,-2.71,-1.41,-9.92,4
162985,-2.20,-1.22,-10.04,2
104245,-2.43,-1.41,-9.96,0
112921,-2.67,-1.37,-9.92,3
68581,-2.20,-1.22,-9.96,2
70585,-2.39,-1.45,-9.96,0
138145,-3.92,-1.53,-9.41,1
192865,-2.20,-1.26,-10.04,2
43201,-2.16,-1.22,-10.00,2
246301,-2.24,-1.26,-9.96,2
57481,-2.67,-1.41,-9.89,4
232333,-2.67,-1.33,-9.89,3
225961,-4.04,-1.53,-9.41,1
52657,-3.18,-1.45,-9.81,5
140209,-2.16,-1.18,-10.04,2
149665,-2.20,-1.22,-10.00,2
66589,-2.20,-1.18,-10.08,2
164641,-3.10,-1.45,-9.77,5
164857,-2.71,-1.45,-9.89,4
213565,-4.00,-1.49,-9.53,1
54733,-2.71,-1.37,-9.92,4
23821,-3.18,-1.41,-9.81,5
49609,-2.39,-1.45,-9.96,0
42493,-3.14,-1.53,-9.81,5
62485,-2.43,-1.49,-9.96,0
246961,-2.39,-1.37,-9.96,0
209377,-2.71,-1.37,-9.89,4
105913,-2.75,-1.41,-9.92,4
96637,-2.71,-1.41,-9.85,4
66373,-2.71,-1.45,-9.85,4
192733,-2.71,-1.33,-9.92,3
89413,-3.84,-1.49,-9.49,1
106597,-2.67,-1.37,-9.96,3
69217,-2.20,-1.18,-9.96,2
117421,-2.71,-1.37,-9.85,4
220993,-2.79,-1.41,-9.89,4
114925,-3.14,-1.49,-9.81,5
255697,-2.16,-1.18,-10.16,2
54613,-2.67,-1.41,-9.96,3
204613,-2.67,-1.49,-9.81,4
209209,-3.18,-1.45,-9.81,5
138289,-3.96,-1.49,-9.45,1
20149,-3.92,-1.53,-9.57,1
200425,-2.20,-1.26,-9.96,2
136405,-2.75,-1.45,-9.85,4
54841,-2.16,-1.26,-10.00,2
118345,-2.75,-1.29,-10.00,3
186589,-3.14,-1.49,-9.73,5
149077,-2.39,-1.41,-9.96,0
93709,-2.67,-1.49,-9.77,4
187285,-2.43,-1.33,-9.96,0
145381,-3.92,-1.53,-9.45,1
248605,-2.63,-1.37,-9.92,3
168121,-2.79,-1.45,-9.92,4
241225,-2.20,-1.22,-10.00,2
163921,-2.67,-1.37,-9.92,3
179797,-3.96,-1.49,-9.49,1
87001,-2.28,-1.33,-9.92,2
73657,-3.14,-1.45,-9.77,5
140989,-2.20,-1.18,-10.00,2
246025,-2.12,-1.22,-9.96,2
190621,-3.14,-1.45,-9.77,5
228217,-3.92,-1.49,-9.53,1
24937,-2.67,-1.37,-9.96,4
196321,-2.71,-1.41,-9.92,4
51661,-3.84,-1.49,-9.53,1
235069,-3.14,-1.49,-9.81,5
100885,-2.43,-1.49,-9.92,0
186229,-3.96,-1.53,-9.49,1
197737,-4.00,-1.49,-9.41,1
63241,-2.35,-1.49,-9.92,0
61633,-2.16,-1.26,-10.00,2
225385,-3.88,-1.49,-9.45,1
127225,-2.20,-1.26,-10.04,2
66493,-3.14,-1.49,-9.77,5
166909,-2.43,-1.41,-10.00,0
173533,-3.14,-1.49,-9.89,5
151129,-2.16,-1.26,-10.08,2
35965,-3.14,-1.41,-9.81,5
87853,-2.71,-1.33,-9.96,3
223609,-2.63,-1.41,-9.96,3
151021,-2.71,-1.45,-9.92,4
39013,-2.71,-1.41,-9.92,4
82213,-2.24,-1.22,-10.00,2
129865,-2.47,-1.41,-9.92,0
38689,-2.35,-1.45,-9.92,0
118597,-3.92,-1.53,-9.49,1
35389,-2.79,-1.41,-9.96,4
34477,-3.14,-1.49,-9.81,5
83869,-3.10,-1.49,-9.69,5
124597,-2.67,-1.33,-9.92,3
27637,-3.18,-1.45,-9.77,5
240529,-3.96,-1.53,-9.49,1
55801,-2.39,-1.49,-9.96,0
160057,-3.14,-1.49,-9.85,5
146821,-3.14,-1.45,-9.81,5
102181,-2.20,-1.22,-10.00,2
57133,-2.43,-1.45,-9.92,0
222685,-2.39,-1.33,-10.00,0
202465,-2.39,-1.29,-10.00,0
69553,-3.06,-1.45,-9.85,5
95125,-3.18,-1.45,-9.85,5
98293,-2.43,-1.45,-9.92,0
169393,-2.71,-1.41,-9.89,4
217465,-3.18,-1.45,-9.85,5
215401,-3.14,-1.49,-9.77,5
113869,-2.20,-1.22,-10.04,2
111997,-2.71,-1.49,-9.89,4
79093,-3.14,-1.49,-9.81,5
86617,-2.63,-1.41,-9.89,4
206449,-2.71,-1.37,-9.96,3
115645,-3.14,-1.49,-9.81,5
119341,-2.67,-1.41,-9.92,3
247525,-3.96,-1.53,-9.53,1
146473,-3.96,-1.57,-9.49,1
165889,-2.39,-1.41,-10.00,0
211285,-3.92,-1.45,-9.53,1
189553,-3.18,-1.49,-9.85,5
113113,-3.84,-1.49,-9.65,1
84037,-3.14,-1.45,-9.85,5
101245,-2.63,-1.41,-9.92,3
180397,-3.92,-1.45,-9.53,1
77953,-2.43,-1.45,-9.89,0
227593,-2.71,-1.33,-9.89,3
145825,-2.63,-1.41,-9.92,3
202525,-3.18,-1.45,-9.92,5
104185,-3.80,-1.49,-9.49,1
37909,-2.67,-1.41,-9.89,4
94357,-3.88,-1.57,-9.45,1
156913,-2.39,-1.37,-9.96,0
224569,-2.39,-1.33,-9.92,0
78013,-2.24,-1.26,-9.96,2
116041,-3.10,-1.53,-9.81,5
48421,-2.20,-1.26,-10.00,2
178597,-2.63,-1.37,-9.92,3
228961,-2.67,-1.49,-9.85,4
106633,-2.71,-1.41,-9.89,4
159553,-2.67,-1.37,-9.96,3
222949,-3.14,-1.49,-9.85,5
33349,-2.39,-1.49,-9.92,0
186781,-2.67,-1.33,-9.89,3
53725,-2.71,-1.37,-9.85,4
244141,-2.79,-1.41,-9.89,4
148777,-3.06,-1.57,-9.69,5
196597,-2.75,-1.37,-9.85,4
86905,-2.63,-1.41,-9.92,3
214165,-2.43,-1.33,-9.92,0
174337,-2.63,-1.37,-10.00,3
146233,-2.43,-1.37,-9.96,0
31093,-2.75,-1.41,-9.92,4
217621,-3.14,-1.49,-9.77,5
241681,-2.43,-1.33,-10.00,0
119329,-2.75,-1.45,-9.92,4
217645,-2.82,-1.41,-9.96,4
161041,-2.20,-1.22,-10.04,2
181405,-2.75,-1.37,-9.81,4
98917,-3.88,-1.49,-9.49,1
159961,-2.20,-1.29,-10.04,2
117709,-3.84,-1.49,-9.45,1
40897,-2.67,-1.41,-9.92,4
222565,-2.20,-1.18,-10.04,2
36133,-2.43,-1.45,-9.92,0
228841,-3.18,-1.45,-9.85,5
215569,-2.63,-1.37,-10.00,3
240481,-2.35,-1.33,-9.96,0
169657,-2.67,-1.33,-9.92,3
104365,-2.63,-1.37,-9.89,4
168109,-2.67,-1.45,-9.92,3
82777,-2.71,-1.41,-9.85,4
95701,-2.16,-1.22,-10.00,2
81601,-2.47,-1.49,-9.92,0
206329,-2.67,-1.33,-9.92,3
93613,-2.20,-1.18,-10.00,2
102145,-3.14,-1.49,-9.89,5
